name,cost,sonatas,icon_echo
Thundering Mephis,4,Void Thunder,Thundering_Mephis_Icon.png
Impermanence Heron,4,Moonlit Clouds,Impermanence_Heron_Icon.png
Tempest Mephis,4,Void Thunder,Tempest_Mephis_Icon.png
Inferno Rider,4,Molten Rift,Inferno_Rider_Icon.png
Bell-Borne Geochelone,4,"Rejuvenating Glow, Moonlit Clouds",Bell-Borne_Geochelone_Icon.png
Crownless,4,Havoc Eclipse,Crownless_Icon.png
Feilian Beringal,4,Sierra Gale,Feilian_Beringal_Icon.png
Fallacy of No Return,4,Rejuvenating Glow,Fallacy_of_No_Return_Icon.png
Mech Abomination,4,Lingering Tunes,Mech_Abomination_Icon.png
Mourning Aix,4,Celestial Light,Mourning_Aix_Icon.png
Lampylumen Myriad,4,Freezing Frost,Lampylumen_Myriad_Icon.png
Lorelei,4,Midnight Veil,Lorelei_Icon.png
Dreamless,4,Havoc Eclipse,Dreamless_Icon.png
Jue,4,Celestial Light,Jue_Icon.png
Sentry Construct,4,Frosty Resolve,Sentry_Construct_Icon.png
Dragon of Dirge,4,Tidebreaking Courage,Dragon_of_Dirge_Icon.png
Hecate,4,Empyrean Anthem,Hecate_Icon.png
Nightmare Feilian Beringal,4,Sierra Gale,Nightmare_Feilian_Beringal_Icon.png
Nightmare Impermanence Heron,4,Midnight Veil,Nightmare_Impermanence_Heron_Icon.png
Nightmare Thundering Mephis,4,"Void Thunder",Nightmare_Thundering_Mephis_Icon.png
Nightmare Tempest Mephis,4,"Void Thunder, Empyrean Anthem",Nightmare_Tempest_Mephis_Icon.png
Nightmare Crownless,4,Havoc Eclipse,Nightmare_Crownless_Icon.png
Nightmare Inferno Rider,4,Molten Rift,Nightmare_Inferno_Rider_Icon.png
Nightmare Mourning Aix,4,Eternal Radiance,Nightmare_Mourning_Aix_Icon.png
Nightmare Lampylumen Myriad,4,"Empyrean Anthem, Frosty Resolve",Nightmare_Lampylumen_Myriad_Icon.png
Reminiscence: Fleurdelys,4,"Gusts of Welkin,Windward Pilgrimage",Reminiscence_Fleurdelys_Icon.png
Nightmare Kelpie,4,"Gusts of Welkin,Windward Pilgrimage",Nightmare_Kelpie_Icon.png
Lioness of Glory,4,Flaming Clawprint,Lioness_of_Glory_Icon.png
