name,rarity,weapon_type,birthplace,attribute,role_name
Aalto,4,Pistols,New Federation,Aero,Concerto Efficiency
Baizhi,4,Rectifier,Huanglong,Glacio,Support and Healer
Brant,5,Sword,Rinascita,Fusion,Support and Healer
Calcharo,5,Broadblade,New Federation,Electro,Main Damage Dealer
Camellya,5,Sword,Unknown,Havoc,Main Damage Dealer
Cantarella,5,Rectifier,Rinascita,Havoc,Concerto Efficiency
Carlotta,5,Pistols,Rinascita,Glacio,Main Damage Dealer
Changli,5,Sword,Huanglong,Fusion,Main Damage Dealer
Chixia,4,Pistols,Huanglong,Fusion,Main Damage Dealer
Danjin,4,Sword,Huanglong,Havoc,Concerto Efficiency
Encore,5,Rectifier,New Federation,Fusion,Main Damage Dealer
Jianxin,5,Gauntlets,Huanglong,Aero,Support and Healer
Jinhsi,5,Broadblade,Huanglong,Spectro,Main Damage Dealer
Jiyan,5,Broadblade,Huanglong,Aero,Main Damage Dealer
Lingyang,4,Gauntlets,Huanglong,Glacio,Main Damage Dealer
Lumi,4,Broadblade,Huanglong,Electro,Main Damage Dealer
Mortefi,4,Pistols,New Federation,Fusion,Concerto Efficiency
Phoebe,5,Rectifier,Rinascita,Spectro,Main Damage Dealer
Roccia,5,Gauntlets,Rinascita,Havoc,Concerto Efficiency
Rover - Aero,5,Sword,Unknown,Aero,Support and Healer
Rover - Havoc,5,Sword,Unknown,Havoc,Main Damage Dealer
Rover - Spectro,5,Sword,Unknown,Spectro,Concerto Efficiency
Sanhua,4,Sword,Huanglong,Glacio,Concerto Efficiency
Shorekeeper,5,Rectifier,The Black Shores,Spectro,Support and Healer
Taoqi,4,Broadblade,Huanglong,Havoc,Support and Healer
Verina,5,Rectifier,New Federation,Spectro,Support and Healer
Xiangli Yao,5,Gauntlets,Huanglong,Electro,Main Damage Dealer
Yangyang,4,Sword,Huanglong,Aero,Concerto Efficiency
Yinlin,5,Rectifier,Huanglong,Electro,Concerto Efficiency
Youhu,4,Gauntlets,Huanglong,Glacio,Support and Healer
Yuanwu,4,Gauntlets,Huanglong,Electro,Concerto Efficiency
Zhezhi,5,Rectifier,Huanglong,Glacio,Concerto Efficiency
