character__name,name,description,skill_type_category
Carlotta,Basic Attack,"Perform up to 2 consecutive strikes, dealing Glacio DMG. With Moldable Crystals, Carlotta's Basic Attack is replaced with Necessary Measures.",Basic Attack
Carlotta,Heavy Attack,"Deliver a charged attack at the target at the cost of STA, dealing Glacio DMG. When Carlotta's Substance is full, her Heavy Attack will be replaced with Containment Tactics: consume all Substance to deal Glacio DMG and reduce the cooldown of Resonance Skill Art of Violence by 6s.",Heavy Attack
Carlotta,Mid-air Attack,"Perform a Plunging Attack at the cost of STA, dealing Glacio DMG. Using Basic Attack shortly after the landing will cast Customary Greetings.",Mid-air Attack
Carlotta,Dodge Counter,"Press Normal Attack shortly after a successful Dodge to deliver a riposte shot, dealing Glacio DMG. This consumes 1 Moldable Crystal.",Dodge Counter
Carlotta,Resonance Skill,"Deal Glacio DMG and inflict Dispersion on the target. Press Resonance Skill again shortly after to cast Chromatic Splendor. Dispersion: Targets with Dispersion are immobilized for 1.5s. Chromatic Splendor: Consume all Moldable Crystals and deal Glacio DMG. The Resonance Skill enters cooldown after a while if Chromatic Splendor is not cast or Carlotta is switched off the field.",Resonance Skill
Carlotta,Resonance Liberation,"Deal Glacio DMG to all targets in an area (considered Resonance Skill DMG) and inflict Deconstruction on targets hit, then activate Twilight Tango. Can be cast in mid-air close to the ground. Deconstruction: Dealing DMG to targets inflicted with Deconstruction ignores 18% of their DEF. Twilight Tango: While in Twilight Tango, press Normal Attack or Resonance Liberation to cast Death Knell. Each Death Knell grants 1 Meta Vector. With 4 Meta Vectors, press Normal Attack or Resonance Liberation to cast Fatal Finale. All Substance is removed when activating and ending Twilight Tango. Cannot perform Basic Attack Necessary Measures, Heavy Attack Containment Tactics, and Heavy Attack Imminent Oblivion while in Twilight Tango. Death Knell: Carlotta fires powerful shots with her musket and summons 4 crystal shards to attack the target, dealing Glacio DMG, considered Resonance Skill DMG. Carlotta moves in the direction of the movement input with each shot of Death Knell. Fatal Finale: Deal Glacio DMG to an area, considered Resonance Skill DMG. Twilight Tango ends after casting Fatal Finale.",Resonance Liberation
Cantarella,Basic Attack,"Perform up to 3 consecutive attacks, dealing Havoc DMG.",Basic Attack
Cantarella,Heavy Attack,"Consume STA to attack the target, dealing Havoc DMG. When Cantarella has Trance, Heavy Attack becomes Delusive Dive, dealing Havoc DMG to the target, and then Cantarella enters Mirage. While in Mirage, casting Delusive Dive does not activate Mirage again. Can be cast in water.",Heavy Attack
Cantarella,Mid-air Attack,"Consume STA to perform Plunging Attack, dealing Havoc DMG.",Mid-air Attack
Cantarella,Dodge Counter,"Press Normal Attack right after a successful Dodge to attack the target, dealing Havoc DMG.",Dodge Counter
Cantarella,Resonance Skill,"Graceful Step: Attack the target, dealing Havoc DMG. Flickering Reverie: When in Mirage, Resonance Skill becomes Flickering Reverie, which is considered an Echo Skill when being cast. Attack the target, dealing Havoc DMG, and send them into Hazy Dream. Can be cast in mid-air. Hazy Dream: Reduce the target's movement speed for 6.5s. When the target takes damage, Jolt is triggered once, removing Hazy Dream to deal Havoc DMG, considered Basic Attack DMG. Attacks by other Resonators in the team will not Jolt a target influenced by Hazy Dream and will remove the Hazy Dream. Coordinated Attacks and damage from Utilities will not Jolt a target.",Resonance Skill
Cantarella,Resonance Liberation,"Flowing Suffocation: Attack the target, dealing Havoc DMG (considered Basic Attack DMG). Grant Diffusion to all Resonators in the team. Casting this skill is also considered as casting Echo Skill. Can be cast in mid-air close to the ground. Diffusion: When the Resonator on the field deals damage to a target, summon Dreamweavers to perform Coordinated Attack, dealing Havoc DMG (considered as Basic Attack DMG). Within 3s after the Resonator deals damage, summon 1 Dreamweaver per second. This effect can be triggered once per second. Damage dealt by Dreamweavers cannot trigger this effect. Up to 1 Dreamweaver can be summoned each second, max 21 Dreamweavers in total. This effect lasts for 30s or until reaching the maximum number of Dreamweavers.",Resonance Liberation
