name,icon_sonata
Freezing Frost,Freezing_Frost.png
Molten Rift,Molten_Rift.png
Void Thunder,Void_Thunder.png
Sierra Gale,Sierra_Gale.png
Celestial Light,Celestial_Light.png
Havoc Eclipse,Havoc_Eclipse.png
Rejuvenating Glow,Rejuvenating_Glow.png
Moonlit Clouds,Moonlit_Clouds.png
Lingering Tunes,Lingering_Tunes.png
Frosty Resolve,Frosty_Resolve.png
Eternal Radiance,Eternal_Radiance.png
Midnight Veil,Midnight_Veil.png
Empyrean Anthem,Empyrean_Anthem.png
Tidebreaking Courage,Tidebreaking_Courage.png
Gusts of Welkin,Gusts_of_Welkin.png
Windward Pilgrimage,Windward_Pilgrimage.png
Flaming Clawprint,Flaming_Clawprint.png
