name,rarity,weapon_type_name,attribute_name,birthplace_name,role_name
Aalto,4,Pistols,Aero,New Federation,"Concerto Efficiency, Aero DMG Amplification"
Baizhi,4,Rectifier,Glacio,Huanglong,"Support and Healer, Coordinated Attack, DMG Amplification"
Brant,5,Sword,Fusion,Rinascita,"Support and Healer, Basic Attack Damage, Fusion DMG Amplification, Resonance Skill DMG Amplification"
Calcharo,5,Broadblade,Electro,New Federation,"Main Damage Dealer, Resonance Liberation Damage"
Camellya,5,Sword,Havoc,Unknown,"Main Damage Dealer, Concerto Efficiency,Basic Attack Damage"
Cantarella,5,Rectifier,Havoc,Rinascita,"Support and Healer, Concerto Efficiency, Basic Attack Damage, Coordinated Attack, Havoc DMG Amplification, Resonance Skill DMG Amplification"
Carlotta,5,Pistols,Glacio,Ragunna,"Main Damage Dealer,Resonance Skill Damage"
Changli,5,Sword,Fusion,Huanglong,"Main Damage Dealer, Resonance Skill Damage, Fusion DMG Amplification, Resonance Liberation DMG Amplification"
Chixia,4,Pistols,Fusion,Huanglong,Main Damage Dealer
Danjin,4,Sword,Havoc,Huanglong,"Concerto Efficiency, Havoc DMG Amplification"
Encore,5,Rectifier,Fusion,New Federation,"Main Damage Dealer, Basic Attack Damage"
Jianxin,5,Gauntlets,Aero,Huanglong,"Support and Healer, Heavy Attack Damage, Traction, Resonance Liberation DMG Amplification"
Jinhsi,5,Broadblade,Spectro,Huanglong,"Main Damage Dealer, Resonance Skill Damage"
Jiyan,5,Broadblade,Aero,Huanglong,"Main Damage Dealer, Heavy Attack Damage, Traction"
Lingyang,4,Gauntlets,Glacio,Huanglong,Main Damage Dealer
Lumi,4,Broadblade,Electro,Huanglong,"Basic Attack Damage, Resonance Skill DMG Amplification"
Mortefi,4,Pistols,Fusion,New Federation,"Concerto Efficiency, Resonance Liberation Damage, Coordinated Attack, Heavy Attack DMG Amplification"
Phoebe,5,Rectifier,Spectro,Rinascita,"Main Damage Dealer, Concerto Efficiency, Spectro Frazzle"
Roccia,5,Gauntlets,Havoc,Rinascita,"Concerto Efficiency, Heavy Attack Damage, Traction, Havoc DMG Amplification, Basic Attack DMG Amplification"
Rover - Aero,5,Sword,Aero,Unknown,"Support and Healer, Resonance Skill Damage, Aero Erosion"
Rover - Havoc,5,Sword,Havoc,Unknown,Main Damage Dealer
Rover - Spectro,5,Sword,Spectro,Unknown,"Concerto Efficiency, Stagnation, Spectro Frazzle"
Sanhua,4,Sword,Glacio,Huanglong,"Concerto Efficiency, Basic Attack DMG Amplification"
Shorekeeper,5,Rectifier,Spectro,The Black Shores,"Support and Healer, Traction, DMG Amplification"
Taoqi,4,Broadblade,Havoc,Huanglong,"Support and Healer, Resonance Liberation Damage, Resonance Skill DMG Amplification"
Verina,5,Rectifier,Spectro,New Federation,"Support and Healer, Coordinated Attack, DMG Amplification"
Xiangli Yao,5,Gauntlets,Electro,Huanglong,"Main Damage Dealer, Resonance Liberation Damage"
Yangyang,4,Sword,Aero,Huanglong,"Concerto Efficiency, Traction, Resonance Liberation Regeneration"
Yinlin,5,Rectifier,Electro,Huanglong,"Concerto Efficiency, Resonance Skill Damage, Coordinated Attack, Electro DMG Amplification, Resonance Liberation DMG Amplification"
Youhu,4,Gauntlets,Glacio,Huanglong,"Support and Healer, Resonance Skill Damage, Vibration Strength Reduction, Coordinated Attack DMG Amplification"
Yuanwu,4,Gauntlets,Electro,Huanglong,"Concerto Efficiency, Coordinated Attack, Interruption Resistance Boost, Vibration Strength Reduction"
Zhezhi,5,Rectifier,Glacio,Huanglong,"Concerto Efficiency, Basic Attack Damage, Coordinated Attack, Glacio DMG Amplification, Resonance Skill DMG Amplification"
