Character,Attribute,hp,atk,def,energy,crit rate,crit dmg
Aalto,Aero,17000,1900,1200,100,50.0,200.0
Baizhi,Glacio,40000,1900,1200,200,50.0,200.0
Brant,Fusion,17000,1900,1200,100,50.0,200.0
Calcharo,Electro,17000,1900,1200,100,50.0,200.0
Camellya,Havoc,17000,1900,1200,100,50.0,200.0
Cantarella,Havoc,17000,1900,1200,100,50.0,200.0
Carlotta,Glacio,17000,1900,1200,100,50.0,200.0
Changli,Fusion,17000,1900,1200,100,50.0,200.0
Chixia,Fusion,17000,1900,1200,100,50.0,200.0
Danjin,Havoc,17000,1900,1200,100,50.0,200.0
Encore,Fusion,17000,1900,1200,100,50.0,200.0
Jianxin,Aero,17000,1900,1200,100,50.0,200.0
Jinhsi,Spectro,17000,1900,1200,100,50.0,200.0
Jiyan,Aero,17000,1900,1200,100,50.0,200.0
Lingyang,Glacio,17000,1900,1200,100,50.0,200.0
Lumi,Electro,17000,1900,1200,100,50.0,200.0
Mortefi,Fusion,17000,1900,1200,100,50.0,200.0
Phoebe,Spectro,17000,1900,1200,100,50.0,200.0
Roccia,Havoc,17000,1900,1200,100,50.0,200.0
Rover - Aero,Aero,17000,1900,1200,100,50.0,200.0
Rover - Havoc,Havoc,17000,1900,1200,100,50.0,200.0
Rover - Spectro,Spectro,17000,1900,1200,100,50.0,200.0
Sanhua,Glacio,17000,1900,1200,100,50.0,200.0
Shorekeeper,Spectro,40000,1900,1200,200,50.0,200.0
Taoqi,Havoc,17000,1900,1200,100,50.0,200.0
Verina,Spectro,17000,2000,1200,100,50.0,200.0
Xiangli Yao,Electro,17000,1900,1200,100,50.0,200.0
Yangyang,Aero,17000,1900,1200,100,50.0,200.0
Yinlin,Electro,17000,1900,1200,100,50.0,200.0
Youhu,Glacio,17000,1900,1200,100,50.0,200.0
Yuanwu,Electro,17000,1900,1200,100,50.0,200.0
Zhezhi,Glacio,17000,1900,1200,100,50.0,200.0
