weapon_name,rarity,weapon_type
Abyss Surges,5,Gauntlets
Ages of Harvest,5,Broadblade
Amity Accord,4,Gauntlets
Augment,4,Rectifier
Autumntrace,4,Broadblade
Blazing Brilliance,5,Sword
Broadblade#41,4,Broadblade
Cadenza,4,Pistols
Call of the Abyss,4,Rectifier
Celestial Spiral,4,Gauntlet
Comet Flare,4,Rectifier
Commando of Conviction,4,Sword
Cosmic Ripples,5,Rectifier
Dauntless Evernight,4,Broadblade
Discord,4,Broadblade
Emerald of Genesis,5,Sword
Endless Collapse,4,Rectifier
Fables of Wisdom,4,Rectifier
Fusion Accretion,4,Rectifier
Gauntlets#21D,4,Gauntlet
Helios Cleaver,4,Broadblade
Hollow Mirage,4,Gauntlets
Jinzhou Keeper,4,Rectifier
Legend of Drunken Hero,4,Gauntlets
Lumingloss,4,Sword
Lunar Cutter,4,Sword
Lustrous Razor,5,Broadblade
Marcato,4,Gauntlets
Meditations on Mercy,4,Broadblade
Novaburst,4,Pistols
Overture,4,Sword
Pistols#26,4,Pistols
Rectifier#25,4,Rectifier
Red Spring,5,Sword
Relativistic Jet,4,Pistols
Rime-Draped Sprouts,5,Rectifier
Romance in Farewell,4,Pistols
Static Mist,5,Pistols
Stellar Symphony,5,Rectifier
Stonard,4,Gauntlets
Stringmaster,5,Rectifier
Sword#18,4,Sword
The Last Dance,5,Pistols
Thunderbolt,4,Pistols
Tragicomedy,5,Gauntlets
Undying Flame,4,Pistols
Variation,4,Rectifier
Verdant Summit,5,Broadblade
Verity's Handle,5,Gauntlets
Waltz in Masquerade,4,Rectifier
Waning Redshift,4,Broadblade
